title,link
"
FG-VD-53974.0day
",https://www.fortiguard.com/encyclopedia/ips/53974
"
Zabbix.Geomap.Stored.XSS
",https://www.fortiguard.com/encyclopedia/ips/53478
"
JetBrains.TeamCity.NuGet.Feed.Page.Stored.XSS
",https://www.fortiguard.com/encyclopedia/ips/53337
"
Adobe.InDesign.CVE-2023-29312.Memory.Leak
",https://www.fortiguard.com/encyclopedia/ips/53284
"
Apache.Zeppelin.WebsocketEventFactory.Stored.XSS
",https://www.fortiguard.com/encyclopedia/ips/52850
"
B&R.Systems.Diagnostics.Manager.sdm.XSS
",https://www.fortiguard.com/encyclopedia/ips/52673
"
Node.js.llhttp.Module.CVE-2022-32215.HTTP.Request.Smuggling
",https://www.fortiguard.com/encyclopedia/ips/52469
"
PostgreSQL.SQL.Query.CVE-2021-20229.Information.Disclosure
",https://www.fortiguard.com/encyclopedia/ips/52188
"
OpenEMR.fee_sheet_options_ajax.php.Reflected.XSS
",https://www.fortiguard.com/encyclopedia/ips/52117
"
WordPress.Plugin.Beaver.Builder.TextEditor.ImgTag.XSS
",https://www.fortiguard.com/encyclopedia/ips/52016
